segment,n_words,slope,intercept,slope_se,slope_pvalue,r_squared
10%,55146,-1.2287017128870323,-0.5532160133906935,0.0009036293401108875,0.0,0.9710384104306656
20%,85418,-1.278937378249978,-0.1696608485681455,0.0007418436398323772,0.0,0.9720642462369983
30%,109715,-1.3060867309554698,0.040378193417130524,0.000666146811254257,0.0,0.9722519303013452
40%,131832,-1.3225072113232692,0.17279962494148704,0.0006164614592749501,0.0,0.9721538589358483
50%,152693,-1.3300717008467824,0.22029630709877446,0.0005811154624409147,0.0,0.9716788461299186
60%,171788,-1.336260286021073,0.2601610528626518,0.0005517715710507821,0.0,0.9715431783074305
70%,190066,-1.3413062916532856,0.2955939563367532,0.0005282834776578114,0.0,0.9713609480566345
80%,207991,-1.3439945770850352,0.30847444365905746,0.000510046180630629,0.0,0.9709165295412165
90%,223866,-1.3492379719266654,0.34942045142055705,0.0004945643051579569,0.0,0.9708000259857824
100%,240096,-1.3516679051815013,0.3637950760019729,0.00048075191116876735,0.0,0.9705226118161777
